course_model_id,question_id,weight
10,11,0.08064516129032258
11,11,0.07462686567164178
12,11,0.06060606060606061
13,11,0.07575757575757576
14,11,0.06153846153846154
15,11,0.047619047619047616
16,11,0.078125
17,11,0.07352941176470588
18,11,0.08333333333333333
1,12,0.06578947368421052
2,12,0.045454545454545456
3,12,0.045454545454545456
4,12,0.05084745762711865
5,12,0.046875
6,12,0.07692307692307693
7,12,0.05084745762711865
8,12,0.04477611940298507
9,12,0.04477611940298507
10,12,0.04838709677419355
11,12,0.04477611940298507
12,12,0.045454545454545456
13,12,0.045454545454545456
14,12,0.07692307692307693
15,12,0.047619047619047616
16,12,0.046875
17,12,0.04411764705882353
18,12,0.05
1,13,0.039473684210526314
2,13,0.06060606060606061
3,13,0.045454545454545456
4,13,0.05084745762711865
5,13,0.078125
6,13,0.046153846153846156
7,13,0.06779661016949153
8,13,0.04477611940298507
9,13,0.04477611940298507
10,13,0.04838709677419355
11,13,0.05970149253731343
12,13,0.045454545454545456
13,13,0.045454545454545456
14,13,0.046153846153846156
15,13,0.047619047619047616
16,13,0.046875
17,13,0.04411764705882353
18,13,0.05
1,14,0.05263157894736842
2,14,0.07575757575757576
3,14,0.07575757575757576
4,14,0.05084745762711865
5,14,0.078125
6,14,0.07692307692307693
7,14,0.05084745762711865
8,14,0.07462686567164178
9,14,0.05970149253731343
10,14,0.04838709677419355
11,14,0.04477611940298507
12,14,0.045454545454545456
13,14,0.045454545454545456
14,14,0.07692307692307693
15,14,0.047619047619047616
16,14,0.046875
17,14,0.04411764705882353
18,14,0.05
1,15,0.06578947368421052
2,15,0.07575757575757576
3,15,0.07575757575757576
4,15,0.06779661016949153
5,15,0.078125
6,15,0.07692307692307693
7,15,0.06779661016949153
8,15,0.07462686567164178
9,15,0.04477611940298507
10,15,0.06451612903225806
11,15,0.05970149253731343
12,15,0.07575757575757576
13,15,0.06060606060606061
14,15,0.07692307692307693
15,15,0.07936507936507936
16,15,0.0625
17,15,0.07352941176470588
18,15,0.06666666666666667
1,16,0.039473684210526314
2,16,0.07575757575757576
3,16,0.045454545454545456
4,16,0.05084745762711865
5,16,0.046875
6,16,0.046153846153846156
7,16,0.05084745762711865
8,16,0.04477611940298507
9,16,0.04477611940298507
10,16,0.04838709677419355
11,16,0.04477611940298507
12,16,0.045454545454545456
13,16,0.045454545454545456
14,16,0.046153846153846156
15,16,0.047619047619047616
16,16,0.046875
17,16,0.04411764705882353
18,16,0.05
1,17,0.05263157894736842
2,17,0.06060606060606061
3,17,0.045454545454545456
4,17,0.05084745762711865
5,17,0.046875
6,17,0.06153846153846154
7,17,0.05084745762711865
8,17,0.07462686567164178
9,17,0.04477611940298507
